DANE,Colegio,Sector,PuntajeGlobal
111001100056,COLEGIO JAIME HERNANDO GARZON FORERO (IED),DISTRITAL - CONCESION,74.04
111001100072,COLEGIO SANTIAGO DE LAS ATALAYAS (IED),DISTRITAL - CONCESION,72.08
111001100013,COLEGIO BUENAVISTA (IED),DISTRITAL - CONCESION,71.96
111001029912,COLEGIO JUAN FRANCISCO BERBEO (IED),DISTRITAL,71.29
111001012459,COLEGIO SAN JOSE NORTE (IED),DISTRITAL,70.92
111001109550,COLEGIO RODOLFO LLINAS (IED),DISTRITAL,70.46
111001015776,COLEGIO INSTITUTO TECNICO DISTRITAL JULIO FLOREZ (IED),DISTRITAL,69.21
111001065056,COLEGIO LUIS CARLOS GALAN SARMIENTO (IED),DISTRITAL,69.17
111001010421,COLEGIO JORGE ELIECER GAITAN (IED),DISTRITAL,69.17
111001100021,COLEGIO GIMNASIO SABIO CALDAS (IED),DISTRITAL - CONCESION,68.83
111001026069,COLEGIO TECNICO MENORAH (IED),DISTRITAL,68.83
111001011908,COLEGIO ESCUELA NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED),DISTRITAL,68.71
111001014290,COLEGIO MARSELLA (IED),DISTRITAL,68.75
111001104043,COLEGIO JOSE MARIA VELAZ (IED),DISTRITAL - CONCESION,68.33
111001006122,COLEGIO LA MERCED (IED),DISTRITAL,68.21
111001015806,COLEGIO JORGE GAITAN CORTES (IED),DISTRITAL,67.92
111001100081,COLEGIO MIRAVALLE (IED),DISTRITAL - CONCESION,67.88
111001100064,COLEGIO ARGELIA (IED),DISTRITAL - CONCESION,67.58
111001098965,COLEGIO SANTA LUCIA (IED),DISTRITAL - CONCESION,67.17
111001000612,COLEGIO FEMENINO LORENCITA VILLEGAS DE SANTOS (IED),DISTRITAL,67.21
111001020168,COLEGIO SORRENTO (IED),DISTRITAL,66.63
111001016101,COLEGIO LOS PERIODISTAS (IED),DISTRITAL,66.17
111001017795,COLEGIO MAGDALENA ORTEGA DE NARIÑO (IED),DISTRITAL,66.17
111001000078,COLEGIO DE CULTURA POPULAR (IED),DISTRITAL,66.13
111279000125,COLEGIO VILLEMAR EL CARMEN (IED),DISTRITAL,66.00
111001010740,COLEGIO INSTITUTO TECNICO INDUSTRIAL FRANCISCO JOSE DE CALDAS (IED),DISTRITAL,65.63
111001102083,COLEGIO SAN JOSE DE CASTILLA (IED),DISTRITAL,65.63
111769001502,COLEGIO ANIBAL FERNANDEZ DE SOTO (IED),DISTRITAL,65.58
111001104051,COLEGIO SAN IGNACIO (IED),DISTRITAL - CONCESION,64.96
111001001121,COLEGIO MARCO TULIO FERNANDEZ (IED),DISTRITAL,65.08
111001035521,COLEGIO NESTOR FORERO ALCALA (IED),DISTRITAL,65.04
111001016292,COLEGIO KENNEDY (IED),DISTRITAL,64.83
111001009148,COLEGIO HELADIA MEJIA (IED),DISTRITAL,64.75
111769003114,COLEGIO VISTA BELLA (IED),DISTRITAL,64.63
111265000017,COLEGIO LA PALESTINA (IED),DISTRITAL,64.71
